,축제명,주소,연락처,시작일,종료일,위도,경도
182,금강여울축제 2019,충청남도 금산군 부리면 평촌리 금강놀이마당,"금산군청 문화공보관광과(041-750-2411), 금산문화원 (041-754-2724)",2019-07-12,2019-07-13,36.0768611410,127.5635928258
183,금능원담축제 2019,제주특별자치도 제주시 한림읍 한림로 247,금능리이장님 064-796-2011,2019-08-03,2019-08-04,33.3884519714,126.2333869858
184,금당야행 2020,경상북도 예천군 용문면 금당실길 54,070-7716-6325,2020-08-28,2020-08-29,36.6902648677,128.4110363565
185,금련산축제 2019,부산광역시 수영구 황령산로 156,051-610-3222,2019-10-05,2019-10-05,35.1552487193,129.1029379945
186,금산 인삼축제 2020,충청남도 금산군 금산읍 인삼광장로 30,041-750-4147,2020-10-09,2020-10-18,36.1001573782,127.5012088646
187,금수산 감골단풍축제 2019,충북 단양군 적성면 상리 886,단양군청 문화관광 043-420-3114<br />적성면주민센터 (적성면청년회) 043-420-3951,2019-10-20,2019-10-20,36.9764239643,128.2751096778
188,금호강바람소리길축제 2019,대구광역시 북구 산격동 14-45,053-320-5120,2019-09-28,2019-09-29,35.9116404433,128.6048329084
189,급이 있는 영화제 2019,부산광역시 해운대구 수영강변대로 120,051-990-7262,2019-11-28,2019-11-30,35.1710751722,129.1271132357
190,기계 농특산물축제 2019,경상북도 포항시 북구 기계면 현내리 산93-6,054-243-2001,2019-11-09,2019-11-09,36.0678922240,129.1999872059
191,기장 국제야구 대축제 2019,부산광역시 기장군 일광면 체육공원1로 155,051-635-2555,2019-11-18,2019-12-01,35.2974048139,129.2416886689
192,기장 파머스마켓 2019,부산광역시 기장군 장안읍 정관로 1133,신세계사이먼 1644-4001,2019-04-06,2019-04-21,35.3237378468,129.2349663005
193,기장 파전축제 2019,부산광역시 기장군 장안읍 정관로 1133,1644-4001,2019-10-19,2019-10-20,35.3237378468,129.2349663005
194,기장임랑썸머뮤직페스티벌 2019,기장군 장안읍 임랑해수욕장 특설무대,051-709-4084,2019-08-17,2019-08-18,35.3139030077,129.2440602269
195,기흥 할로윈 놀이터 2019,경기도 용인시 기흥구 신고매로 124,031-916-2500,2019-10-18,2019-10-31,37.2254769065,127.1209760109
196,김유정문학제 2019,강원도 춘천시 신동면 김유정로 1430-14,033-261-4650,2019-10-01,2019-10-08,37.8183579302,127.7176519894
197,김제 지평선 추억의 보리밭 축제 2019,전라북도 김제시 진봉면 심포10길 94,진봉면사무소 063-540-4781,2019-05-03,2019-05-05,35.8597738984,126.7156630351
198,김천부항댐 전국 가족걷기대회 2019,경상북도 김천시 지례면 부항로 195,053-757-5441,2019-11-02,2019-11-02,35.9816632309,128.0060116740
199,김천직지 나이트투어 2019,경상북도 김천시 대항면 직지사길 95,054-434-4336,2019-03-30,2019-10-05,36.1165201027,128.0051636065
200,김포 음악불꽃크루즈 2020,경기도 김포시 고촌읍 아라육로270번길 74,1522-8905,2020-01-04,2020-12-31,37.5976583182,126.7871209331
201,김포 중봉문화제 2019,경기도 김포시 사우중로 26,031-980-2477,2019-05-25,2019-05-25,37.6180936099,126.7185960615
202,김해 문화재야행 2020,경상남도 김해시 가락로93번길 26,055-320-1205,2020-10-09,2020-10-11,35.2349050783,128.8772665825
203,김해 세계크리스마스 문화축제 2019,경상남도 김해시 동상동 종로길 일원,055-326-4200,2019-12-07,2020-01-05,35.2368660834,128.8834882088
204,꽃길만 걸어요 2019,서울특별시 성동구 뚝섬로 273 (서울숲),"02-2286-7794, 6621",2019-10-19,2019-10-20,37.5431886537,127.0419075724
205,꽃무릇큰잔치 2019,전라남도 함평군 해보면 용천사길 209,-,2019-09-21,2019-09-22,35.1818785103,126.5422038892
206,꽃보다 슈퍼스타,서울특별시 종로구 동숭길 50,02-764-0686,2019-01-01,2019-12-31,37.5805391974,127.0045376955
207,나라꽃 무궁화 세종 축제 2019,세종특별자치시 다솜3로 66,세종시청 산림공원과 044-300-4483,2019-08-15,2019-08-16,36.5010852188,127.2699631287
208,나라꽃 무궁화 완주축제 2019,전북 완주군 고산면 오산리 814-1 고산문화공원,063-290-2114,2019-08-07,2019-08-09,35.9714423502,127.2343944036
209,나를 사랑한 버스커 축제 2020,대구광역시 중구 달구벌대로 2232,053)255-5123,2020-06-27,2020-06-27,35.8618461284,128.6073979595
210,나미콩쿠르 수상작 展 2019,강원도 춘천시 남산면 남이섬길 1,031-580-8193,2019-08-31,2019-12-31,37.7901798790,127.5261480243
211,나인블럭 썸머 트래블 투어 2020,경기도 광주시 경충대로 1969,031-761-5013,2020-07-17,2020-09-13,37.4033525944,127.2233867062
212,나주 천년의 樂 나주풍류열전 2019,전라남도 나주시 금성관길 8,061-339-8582,2019-05-11,2019-09-28,35.0333370882,126.7165726762
213,낙동강 디아크 별빛문화 축제 2019,대구광역시 달성군 다사읍 강정본길 57,053-585-0916~7,2019-10-05,2019-10-06,35.8411652970,128.4650638527
214,낙동강세계평화문화대축전 2020,경상북도 칠곡군 석적읍 강변대로 1580,054-979-6100~5,2020-10-09,2020-10-11,36.0178885900,128.4041393286
215,낙동강자전거페스티벌 2019,부산광역시 사하구 낙동남로1233번길 1,051-292-1042,2019-06-15,2019-06-15,35.1082872241,128.9474416939
216,낙안읍성 민속문화축제 2020,전라남도 순천시 낙안면 충민길 30,061-749-8831,2020-10-23,2020-10-25,34.9063869563,127.3417762983
217,난계국악단 상설공연 2020,충청북도 영동군 심천면 국악로1길 33,영동군 국악문화체육실 043-740-3224,2020-01-18,2020-12-26,36.2114482472,127.7008769509
218,난타  (홍대),서울특별시 마포구 양화로16길 29,02-739-8288,2020-01-01,2020-12-31,37.5532325451,126.9212766131
219,난타 (명동),서울특별시 중구 명동길 26,02-739-8288,2020-01-01,2020-12-31,37.5634463660,126.9837456304
220,남대문 3GO 야시장 2019,서울 중구 남대문시장길 메사빌딩 앞~삼익패션상가,04-499-1786 (담당자 010-7181-1786 이덕현),2019-06-26,2019-10-31,37.5602216552,126.9789600471
221,남도음식문화큰잔치 2019,전라남도 강진군 강진읍 남포리 510,061-430-3334,2019-10-11,2019-10-13,34.6211122152,126.7744443311
222,남명 선비문화축제 2019,경상남도 산청군 시천면 남명로240번길 33,055-970-6401~3,2019-10-18,2019-10-19,35.2763040847,127.8460669000
223,남산 걷기명상 2019,서울특별시 중구 필동로1길 30,02-451-0203,2019-08-31,2019-08-31,37.5583111471,127.0002026097
224,남산골 바캉스 2019,서울특별시 중구 퇴계로34길 28,070-4468-9873,2019-07-02,2019-08-31,37.5584387906,126.9935365470
225,남원 바래봉 철쭉제 2019,전라북도 남원시 운봉읍 바래봉길 214,063-635-0301,2019-04-25,2019-05-19,35.4351003818,127.5486111809
226,남원 신관사또부임행차 2019,전라북도 남원시 양림길 17,남원시청 문화관광과 063-633-5353,2019-04-07,2019-10-27,35.4028873237,127.3872484955
227,남원 춘향제 2020,전라북도 남원시 요천로 1447,063-620-5783,2020-09-10,2020-09-13,35.4029483014,127.3799380290
228,남원흥부제 2020,전라북도 남원시 양림길 12,063-620-5785,2020-10-08,2020-10-11,35.4027150938,127.3856653066
229,남이섬 겨울축제 'Winter Wonder Nami Island' 2020,강원도 춘천시 남산면 남이섬길 1,031-580-8114,2019-12-21,2020-02-09,37.7901159965,127.5261035858
230,남이섬 벗(友)꽃놀자 2019,경기도 가평군 가평읍 북한강변로 1024,031-580-8114,2019-04-13,2019-05-12,37.8040060338,127.5253476926
231,남이섬 세계책나라축제 2019,강원도 춘천시 남산면 남이섬길 1,031-580-8193~5,2019-05-04,2019-05-26,37.7901159965,127.5261035858
232,남이섬 어쿠스틱 청춘 페스티벌: 홍대야놀자 in 남이섬 2019,강원도 춘천시 남산면 남이섬길 1,남이섬교육문화그룹 031-580-8015,2019-08-24,2019-09-08,37.7901159965,127.5261035858
233,남이섬 '비밀정원 : 위로가 필요한 당신에게'展 2020,강원도 춘천시 남산면 남이섬길 1,남이섬교육문화그룹 031-580-8193~5,2019-12-14,2020-04-05,37.7901798790,127.5261480243
234,남이섬 '사물 채집'展 2020,강원도 춘천시 남산면 남이섬길 1,031-580-8193~5,2020-04-15,2021-03-14,37.7901798790,127.5261480243
235,남해 꽃밭축제 2019,경상남도 남해군 삼동면 예술길 39,원예예술촌 055-867-4702,2019-05-24,2019-05-26,34.8036327456,128.0362819744
236,남해 다랭이 마을 달빛걷기 2020,경상남도 남해군 남면 남면로679번길 21,010-4590-4642,2020-07-25,2020-10-03,34.7275554382,127.8940546825
237,내나라여행박람회 2020,서울특별시 영등포구 여의공원로 120,02-757-7485,2020-10-08,2020-10-11,37.5296353832,126.9266462333
238,내설악을 품은 인제가을꽃축제 2019,강원도 인제군 북면 십이선녀탕길 16,1577-8924,2019-09-28,2019-10-13,38.1856540989,128.3062095629
239,너랑나랑우리랑 역사야 놀자 2019,서울특별시 강북구 4.19로 114,02-901-6213,2019-09-21,2019-09-21,37.6434262989,127.0028110666
240,넌버벌 퍼포먼스 'FIREMAN',서울특별시 중구 마른내로 47,02-6271-1190,2020-01-01,2020-12-31,37.5646797260,126.9931808474
241,네이처파크 낭만동물원 2019,대구광역시 달성군 가창면 가창로 891,1688-8511,2019-11-05,2019-11-22,35.7881605357,128.6353392148
242,네이처파크 미라클크리스마스 2019,대구광역시 달성군 가창면 가창로 891,1688-8511,2019-11-23,2019-12-27,35.7881605357,128.6353392148
243,네이처파크 플라워 페스티벌 2020,대구광역시 달성군 가창면 가창로 891,1688-8511,2020-04-25,2020-07-17,35.7881605357,128.6353392148
244,네이처파크 할로윈페스티벌<호박마녀의 초대> 2019,대구광역시 달성군 가창면 가창로 891,1688-8511,2019-09-21,2019-11-03,35.7881605357,128.6353392148
245,네이처파크 <스윗 윈터> 2020,대구광역시 달성군 가창면 가창로 891,1688-8511,2019-12-28,2020-02-16,35.7881605357,128.6353392148
246,노량진의밤 야간난전 2019,서울특별시 동작구 노량진로 178,02-820-9657,2019-06-21,2019-06-23,37.5134626035,126.9457199522
247,노원 탈축제 2019,서울특별시 노원구 동일로 1414,02-2116-4924,2019-10-04,2019-10-06,37.6550315542,127.0610720891
248,논산 강경젓갈축제 2020,충청남도 논산시 강경읍 금백로 45,041-746-5662,2020-10-14,2020-10-18,36.1575310871,127.0097206525
249,논산 토마토페스티벌 2019,충청남도 논산시 상월면 상월로 522,041-833-7171,2019-07-19,2019-08-08,36.3058479323,127.1955278518
250,농업농촌 사회적가치 사생대회 2019,경기도 안성시 공도읍 대신두길 28,070-4335-5341,2019-11-27,2019-11-27,36.9921385117,127.1944397620
251,누들페스티벌 2019,강원도 평창군 봉평면 기풍3길 6,033-335-2323,2019-05-24,2019-05-26,37.6143134245,128.3755317984
252,늘근도둑 이야기,서울특별시 종로구 대학로12길 64,02-3672-0900,2019-01-01,2019-12-31,37.5811613326,127.0036933107
253,다랭이마을 해맞이 행사 2020,경상남도 남해군 남면 남면로 702,010-6700-6402,2020-01-01,2020-01-01,34.7280247777,127.8910715972
254,다빈치 크리에이티브 2019,서울특별시 금천구 범안로15길 57,02-807-4800,2019-08-23,2019-09-11,37.4688834875,126.8919733235
255,단양 온달문화축제 2020,충청북도 단양군 영춘면 온달로 23,043-420-2551~5 / 043-423-0700,2020-10-23,2020-10-25,37.0617876536,128.4908434198
256,단원미술관 상설체험전 '그림책에 담은 옛이야기' 2019,경기도 안산시 상록구 충장로 422,"031-481-0505, 0510",2018-07-06,2019-06-30,37.3188723540,126.8491203039
257,단종비 정순왕후 추모 문화제 2019,서울특별시 종로구 동망산길 150,02-2148-1862,2019-04-19,2019-04-20,37.5775536783,127.0181670940
258,달구벌목민관축제 2019,대구광역시 서구 달서로39길 2,053-663-2183,2019-10-13,2019-10-13,35.8802961454,128.5709423245
259,달성 100대 피아노 2019,대구광역시 달성군 화원읍 사문진로1길 40-12,053-659-4283,2019-09-28,2019-09-29,35.8111411678,128.4786968148
260,달성대구현대미술제 2020,대구광역시 달성군 다사읍 강정본길 57,053-659-4292,2020-09-04,2020-10-04,35.8411652970,128.4650638527
261,담양 산타축제 2019,"전남 담양군 담양읍 학동리 586-1 담양읍 구도심, 메타프로방스 일원",061-380-2763,2019-12-13,2019-12-29,35.3226092203,127.0018263119
262,당신이 주인공,서울특별시 마포구 와우산로 117,02-324-1421,2019-01-01,2019-12-31,37.5534853853,126.9264066931
263,당진 안섬풍어제 2019,충청남도 당진시 송악읍 고대리,041-350-3581,2019-03-07,2019-03-09,36.9870504496,126.7371034904
264,당진국화전시회 2019,충청남도 당진시 구봉로 46,041-355-5959,2019-10-26,2019-11-03,36.9134351969,126.6493273268
265,대관령 눈꽃축제 2020,강원도 평창군 대관령면 대관령로 119,033-335-3995,2020-01-17,2020-01-27,37.6722742377,128.7095999126
266,대구 국제바디페인팅 페스티벌 2019,대구광역시 달서구 야외음악당로 180,053-760-1855,2019-08-24,2019-08-25,35.8510547396,128.5561555513
267,대구 국제오페라축제 2019,대구광역시 북구 호암로 15,053-666-6000,2019-08-28,2019-10-13,35.8834461788,128.5920987054
268,대구 꽃박람회 2020,대구광역시 북구 엑스코로 10,053-601-5239,2020-10-22,2020-10-25,35.9070383402,128.6131378604
269,대구 낭만한우숯불구이축제 2019,대구광역시 달서구 공원순환로 216,051-747-1956,2019-05-15,2019-05-19,35.8475579725,128.5593831420
270,대구 달성토성마을 골목축제 2019,대구광역시 서구 국채보상로81길 43,053-663-4256,2019-04-27,2019-04-27,35.8758161670,128.5747198936
271,대구 문화재 야행 2019,대구광역시 중구 남성로 27-1,053-661-2195,2019-08-23,2019-08-24,35.8711336027,128.5876911034
272,대구 제야의 타종 2020,대구광역시 중구 국채보상로 670,053-803-3733,2019-12-31,2020-01-01,35.8689396970,128.6034314445
273,대구 폭염탈출 신천 돗자리 음악회 2019,대구광역시 남구 중앙대로22길 269,남구청 문화관광과 053-664-3262,2019-07-27,2019-07-28,35.8418039173,128.6054959067
274,대구 할로윈 축제 2019,대구광역시 남구 안지랑로16길 67,053-213-0723,2019-10-25,2019-10-26,35.8369094686,128.5751903786
275,대구국제재즈축제 (Daegu International Jazz Fstival) 2019,대구광역시 수성구 무학로 112,1544-1850,2019-09-16,2019-09-21,35.8293778245,128.6205949230
276,대구국제패션문화페스티벌 2019,대구 수성구 두산동 512,053-721-7484,2019-10-04,2019-10-06,35.8294027794,128.6182979022
277,대구국제호러페스티벌 2019,대구광역시 수성구 유니버시아드로 180,"053-255-2555, 010-7795-2460",2019-08-09,2019-08-11,35.8298096160,128.6901776754
278,대구단편영화제 2020,대구광역시 중구 국채보상로 537,053-629-4424,2020-08-19,2020-08-29,35.8706531337,128.5894298526
279,대구도시농업박람회 2019,대구광역시 수성구 달구벌대로 3170,053-601-5240,2019-09-26,2019-09-29,35.8329539154,128.7015654749
280,대구수목원 국화전시회 2019,대구광역시 달서구 화암로 342,053-803-7270,2019-10-28,2019-11-11,35.7984044967,128.5210462134
281,대구수제맥주페스티벌 2019,대구광역시 수성구 무학로 112,02-740-9656,2019-06-14,2019-06-16,35.8293778245,128.6205949230
282,대구음식관광박람회 2019,대구광역시 북구 엑스코로 10,"053-601-5213, 5214",2019-11-21,2019-11-24,35.9070383402,128.6131378604
283,대구음악제 2019,대구광역시 중구 태평로 141,053-606-6333,2019-09-17,2019-11-01,35.8761025954,128.5937126569
284,대명공연거리 로드페스티벌 2019,대구광역시 남구 계명중앙1길 35-1,053-621-8005,2019-06-01,2019-06-02,35.8562129640,128.5819531351
285,대왕암 해맞이 2020,울산광역시 동구 등대로 140,관광과 052-209-3352,2020-01-01,2020-01-01,35.4918505765,129.4383355482
286,대운산 철쭉축제 2019,울산광역시 울주군 온양읍 운화리,052-204-1714,2019-04-21,2019-04-21,35.4016731434,129.2133854570
287,대전 라이브 페스타 2019,대전광역시 유성구 대덕대로 480,-,2019-09-20,2019-09-22,36.3772070293,127.3863644022
288,대전 맨몸마라톤 2020,대전광역시 서구 둔산대로 169,042-530-1832,2020-01-01,2020-01-01,36.3664721764,127.3880117687
289,대전 사이언스페스티벌 2019,대전광역시 서구 둔산대로 169,042-250-1273,2019-10-18,2019-10-21,36.3664721764,127.3880117687
